gene id Process
ACADVL hsa00071 Fatty_acid_degradation
ACAT1 hsa00380 Tryptophan_metabolism
ACAT1 hsa01200 Carbon_metabolism
ACAT1 hsa01100 Metabolic_pathways
ACAT1 hsa00280 Valine,_leucine_and_isoleucine_degradation
ACAT1 hsa00630 Glyoxylate_and_dicarboxylate_metabolism
ACAT1 hsa00072 Synthesis_and_degradation_of_ketone_bodies
ACAT1 hsa00650 Butanoate_metabolism
ACAT1 hsa00900 Terpenoid_backbone_biosynthesis
ACAT1 hsa01212 Fatty_acid_metabolism
ACAT1 hsa00620 Pyruvate_metabolism
ACAT1 hsa00310 Lysine_degradation
ACAT1 hsa00640 Propanoate_metabolism
ACAT1 hsa00071 Fatty_acid_degradation
BNC1 hsa04750 Inflammatory_mediator_regulation_of_TRP_channels
BNC1 hsa04742 Taste_transduction
ASIC2 hsa04750 Inflammatory_mediator_regulation_of_TRP_channels
ASIC2 hsa04742 Taste_transduction
ASIC1 hsa04750 Inflammatory_mediator_regulation_of_TRP_channels
ACHE hsa00564 Glycerophospholipid_metabolism
ACHE hsa04725 Cholinergic_synapse
ACLY hsa00020 Citrate_cycle_(TCA_cycle)
ACLY hsa01100 Metabolic_pathways
ACO1 hsa01230 Biosynthesis_of_amino_acids
ACO1 hsa01200 Carbon_metabolism
ACO1 hsa01210 2-Oxocarboxylic_acid_metabolism
ACO1 hsa00630 Glyoxylate_and_dicarboxylate_metabolism
ACO1 hsa00020 Citrate_cycle_(TCA_cycle)
ACO1 hsa01100 Metabolic_pathways
ACO2 hsa01200 Carbon_metabolism
ACO2 hsa00630 Glyoxylate_and_dicarboxylate_metabolism
ACO2 hsa01210 2-Oxocarboxylic_acid_metabolism
ACO2 hsa00020 Citrate_cycle_(TCA_cycle)
ACO2 hsa01100 Metabolic_pathways
ACO2 hsa01230 Biosynthesis_of_amino_acids
ACOX1 hsa04146 Peroxisome
ACOX1 hsa03320 PPAR_signaling_pathway
ACOX1 hsa00592 alpha-Linolenic_acid_metabolism
ACOX1 hsa01100 Metabolic_pathways
ACOX1 hsa04024 cAMP_signaling_pathway
ACOX1 hsa00071 Fatty_acid_degradation
ACOX1 hsa01040 Biosynthesis_of_unsaturated_fatty_acids
ACOX1 hsa01212 Fatty_acid_metabolism
ACP1 hsa04520 Adherens_junction
ACP2 hsa04142 Lysosome
ACP5 hsa04142 Lysosome
ACP5 hsa04380 Osteoclast_differentiation
ACP5 hsa05323 Rheumatoid_arthritis
ACTA2 hsa04270 Vascular_smooth_muscle_contraction
ACTB hsa04611 Platelet_activation
ACTB hsa05131 Shigellosis
ACTB hsa05410 Hypertrophic_cardiomyopathy_(HCM)
ACTB hsa05164 Influenza_A
ACTB hsa04971 Gastric_acid_secretion
ACTB hsa05205 Proteoglycans_in_cancer
ACTB hsa04520 Adherens_junction
ACTB hsa04210 Apoptosis
ACTB hsa05110 Vibrio_cholerae_infection
ACTB hsa05414 Dilated_cardiomyopathy
ACTB hsa05132 Salmonella_infection
ACTB hsa04145 Phagosome
ACTB hsa05100 Bacterial_invasion_of_epithelial_cells
ACTB hsa05416 Viral_myocarditis
ACTB hsa04810 Regulation_of_actin_cytoskeleton
ACTB hsa04670 Leukocyte_transendothelial_migration
ACTB hsa04390 Hippo_signaling_pathway
ACTB hsa04015 Rap1_signaling_pathway
ACTB hsa04919 Thyroid_hormone_signaling_pathway
ACTB hsa04530 Tight_junction
ACTB hsa05412 Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)
ACTB hsa04510 Focal_adhesion
ACTB hsa05130 Pathogenic_Escherichia_coli_infection
ACTB hsa04921 Oxytocin_signaling_pathway
ACTC1 hsa05414 Dilated_cardiomyopathy
ACTC1 hsa04261 Adrenergic_signaling_in_cardiomyocytes
ACTC1 hsa05410 Hypertrophic_cardiomyopathy_(HCM)
ACTC1 hsa04260 Cardiac_muscle_contraction
ACTG1 hsa04520 Adherens_junction
ACTG1 hsa05164 Influenza_A
ACTG1 hsa04015 Rap1_signaling_pathway
ACTG1 hsa05410 Hypertrophic_cardiomyopathy_(HCM)
ACTG1 hsa04919 Thyroid_hormone_signaling_pathway
ACTG1 hsa05414 Dilated_cardiomyopathy
ACTG1 hsa04921 Oxytocin_signaling_pathway
ACTG1 hsa05416 Viral_myocarditis
ACTG1 hsa04210 Apoptosis
ACTG1 hsa05110 Vibrio_cholerae_infection
ACTG1 hsa04611 Platelet_activation
ACTG1 hsa04145 Phagosome
ACTG1 hsa05132 Salmonella_infection
ACTG1 hsa04530 Tight_junction
ACTG1 hsa04670 Leukocyte_transendothelial_migration
ACTG1 hsa05205 Proteoglycans_in_cancer
ACTG1 hsa04510 Focal_adhesion
ACTG1 hsa04810 Regulation_of_actin_cytoskeleton
ACTG1 hsa05131 Shigellosis
ACTG1 hsa05100 Bacterial_invasion_of_epithelial_cells
ACTG1 hsa05130 Pathogenic_Escherichia_coli_infection
ACTG1 hsa05412 Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)
ACTG1 hsa04390 Hippo_signaling_pathway
ACTG2 hsa04270 Vascular_smooth_muscle_contraction
ACTN4 hsa05203 Viral_carcinogenesis
ACTN4 hsa04810 Regulation_of_actin_cytoskeleton
ACTN4 hsa04510 Focal_adhesion
ACTN4 hsa05146 Amoebiasis
ACTN4 hsa05322 Systemic_lupus_erythematosus
ACTN4 hsa05412 Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)
ACTN4 hsa04520 Adherens_junction
ACTN4 hsa04670 Leukocyte_transendothelial_migration
ACTN4 hsa04530 Tight_junction
ACTN1 hsa05203 Viral_carcinogenesis
ACTN1 hsa05146 Amoebiasis
ACTN1 hsa04670 Leukocyte_transendothelial_migration
ACTN1 hsa05412 Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)
ACTN1 hsa04530 Tight_junction
ACTN1 hsa04810 Regulation_of_actin_cytoskeleton
ACTN1 hsa04510 Focal_adhesion
ACTN1 hsa04520 Adherens_junction
ACTN1 hsa05322 Systemic_lupus_erythematosus
ACTN2 hsa04520 Adherens_junction
ACTN2 hsa04530 Tight_junction
ACTN2 hsa05203 Viral_carcinogenesis
ACTN2 hsa05322 Systemic_lupus_erythematosus
ACTN2 hsa04510 Focal_adhesion
ACTN2 hsa05146 Amoebiasis
ACTN2 hsa04810 Regulation_of_actin_cytoskeleton
ACTN2 hsa04670 Leukocyte_transendothelial_migration
ACTN2 hsa05412 Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)
ACVR1 hsa04350 TGF-beta_signaling_pathway
ACVR1 hsa04550 Signaling_pathways_regulating_pluripotency_of_stem_cells
ACVR1 hsa04060 Cytokine-cytokine_receptor_interaction
ACVR1B hsa04550 Signaling_pathways_regulating_pluripotency_of_stem_cells
ACVR1B hsa04060 Cytokine-cytokine_receptor_interaction
ACVR1B hsa04350 TGF-beta_signaling_pathway
ACVR2A hsa04550 Signaling_pathways_regulating_pluripotency_of_stem_cells
ACVR2A hsa04350 TGF-beta_signaling_pathway
ACVR2A hsa04060 Cytokine-cytokine_receptor_interaction
ACVR2B hsa04060 Cytokine-cytokine_receptor_interaction
ACVR2B hsa04550 Signaling_pathways_regulating_pluripotency_of_stem_cells
ACVR2B hsa04350 TGF-beta_signaling_pathway
ACY1 hsa00220 Arginine_biosynthesis
ACY1 hsa01100 Metabolic_pathways
ACY1 hsa01210 2-Oxocarboxylic_acid_metabolism
ACY1 hsa01230 Biosynthesis_of_amino_acids
ACYP1 hsa00620 Pyruvate_metabolism
ACYP2 hsa00620 Pyruvate_metabolism
ADAM10 hsa05120 Epithelial_cell_signaling_in_Helicobacter_pylori_infection
ADAM10 hsa05010 Alzheimer's_disease
ADAR hsa05162 Measles
ADAR hsa04623 Cytosolic_DNA-sensing_pathway
ADAR hsa05164 Influenza_A
ADCY1 hsa05200 Pathways_in_cancer
ADCY1 hsa04720 Long-term_potentiation
ADCY1 hsa04913 Ovarian_steroidogenesis
ADCY1 hsa04911 Insulin_secretion
ADCY1 hsa04211 Longevity_regulating_pathway
ADCY1 hsa04727 GABAergic_synapse
ADCY1 hsa05166 HTLV-I_infection
ADCY1 hsa04022 cGMP-PKG_signaling_pathway
ADCY1 hsa04015 Rap1_signaling_pathway
ADCY1 hsa01522 Endocrine_resistance
ADCY1 hsa04921 Oxytocin_signaling_pathway
ADCY1 hsa04972 Pancreatic_secretion
ADCY1 hsa04971 Gastric_acid_secretion
ADCY1 hsa05142 Chagas_disease_(American_trypanosomiasis)
ADCY1 hsa04062 Chemokine_signaling_pathway
ADCY1 hsa04261 Adrenergic_signaling_in_cardiomyocytes
ADCY1 hsa05414 Dilated_cardiomyopathy
ADCY1 hsa04918 Thyroid_hormone_synthesis
ADCY1 hsa04072 Phospholipase_D_signaling_pathway
ADCY1 hsa04915 Estrogen_signaling_pathway
ADCY1 hsa04114 Oocyte_meiosis
ADCY1 hsa04270 Vascular_smooth_muscle_contraction
ADCY1 hsa04912 GnRH_signaling_pathway
ADCY1 hsa04750 Inflammatory_mediator_regulation_of_TRP_channels
ADCY1 hsa04723 Retrograde_endocannabinoid_signaling
ADCY1 hsa04540 Gap_junction
ADCY1 hsa00230 Purine_metabolism
ADCY1 hsa05032 Morphine_addiction
ADCY1 hsa04213 Longevity_regulating_pathway
ADCY1 hsa04024 cAMP_signaling_pathway
ADCY1 hsa04914 Progesterone-mediated_oocyte_maturation
ADCY1 hsa04916 Melanogenesis
ADCY1 hsa04020 Calcium_signaling_pathway
ADCY1 hsa05146 Amoebiasis
ADCY1 hsa04923 Regulation_of_lipolysis_in_adipocytes
ADCY1 hsa04724 Glutamatergic_synapse
ADCY1 hsa04925 Aldosterone_synthesis_and_secretion
ADCY1 hsa04611 Platelet_activation
ADCY1 hsa04976 Bile_secretion
ADCY1 hsa04970 Salivary_secretion
ADCY1 hsa04713 Circadian_entrainment
ADCY1 hsa04725 Cholinergic_synapse
ADCY2 hsa04724 Glutamatergic_synapse
ADCY2 hsa04918 Thyroid_hormone_synthesis
ADCY2 hsa04211 Longevity_regulating_pathway
ADCY2 hsa04072 Phospholipase_D_signaling_pathway
ADCY2 hsa04916 Melanogenesis
ADCY2 hsa04723 Retrograde_endocannabinoid_signaling
ADCY2 hsa04611 Platelet_activation
ADCY2 hsa04911 Insulin_secretion
ADCY2 hsa04270 Vascular_smooth_muscle_contraction
ADCY2 hsa04925 Aldosterone_synthesis_and_secretion
ADCY2 hsa04114 Oocyte_meiosis
ADCY2 hsa04976 Bile_secretion
ADCY2 hsa01522 Endocrine_resistance
ADCY2 hsa05032 Morphine_addiction
ADCY2 hsa04971 Gastric_acid_secretion
ADCY2 hsa04923 Regulation_of_lipolysis_in_adipocytes
ADCY2 hsa04725 Cholinergic_synapse
ADCY2 hsa04022 cGMP-PKG_signaling_pathway
ADCY2 hsa04015 Rap1_signaling_pathway
ADCY2 hsa04020 Calcium_signaling_pathway
ADCY2 hsa04540 Gap_junction
ADCY2 hsa04972 Pancreatic_secretion
ADCY2 hsa05414 Dilated_cardiomyopathy
ADCY2 hsa04713 Circadian_entrainment
ADCY2 hsa04921 Oxytocin_signaling_pathway
ADCY2 hsa04024 cAMP_signaling_pathway
ADCY2 hsa04915 Estrogen_signaling_pathway
ADCY2 hsa04914 Progesterone-mediated_oocyte_maturation
ADCY2 hsa04750 Inflammatory_mediator_regulation_of_TRP_channels
ADCY2 hsa04912 GnRH_signaling_pathway
ADCY2 hsa05166 HTLV-I_infection
ADCY2 hsa04727 GABAergic_synapse
ADCY2 hsa05200 Pathways_in_cancer
ADCY2 hsa04062 Chemokine_signaling_pathway
ADCY2 hsa00230 Purine_metabolism
ADCY2 hsa04213 Longevity_regulating_pathway
ADCY2 hsa04922 Glucagon_signaling_pathway
ADCY2 hsa04970 Salivary_secretion
ADCY2 hsa04261 Adrenergic_signaling_in_cardiomyocytes
ADCY2 hsa04913 Ovarian_steroidogenesis
ADCY3 hsa04750 Inflammatory_mediator_regulation_of_TRP_channels
ADCY3 hsa04270 Vascular_smooth_muscle_contraction
ADCY3 hsa05166 HTLV-I_infection
ADCY3 hsa04915 Estrogen_signaling_pathway
ADCY3 hsa04015 Rap1_signaling_pathway
ADCY3 hsa04740 Olfactory_transduction
ADCY3 hsa04912 GnRH_signaling_pathway
ADCY3 hsa04727 GABAergic_synapse
ADCY3 hsa04261 Adrenergic_signaling_in_cardiomyocytes
ADCY3 hsa04072 Phospholipase_D_signaling_pathway
ADCY3 hsa04211 Longevity_regulating_pathway
ADCY3 hsa04972 Pancreatic_secretion
ADCY3 hsa04723 Retrograde_endocannabinoid_signaling
ADCY3 hsa04962 Vasopressin-regulated_water_reabsorption
ADCY3 hsa04611 Platelet_activation
ADCY3 hsa04913 Ovarian_steroidogenesis
ADCY3 hsa04925 Aldosterone_synthesis_and_secretion
ADCY3 hsa05414 Dilated_cardiomyopathy
ADCY3 hsa04022 cGMP-PKG_signaling_pathway
ADCY3 hsa04024 cAMP_signaling_pathway
ADCY3 hsa04976 Bile_secretion
ADCY3 hsa04921 Oxytocin_signaling_pathway
ADCY3 hsa01522 Endocrine_resistance
ADCY3 hsa04724 Glutamatergic_synapse
ADCY3 hsa04918 Thyroid_hormone_synthesis
ADCY3 hsa04971 Gastric_acid_secretion
ADCY3 hsa04916 Melanogenesis
ADCY3 hsa05110 Vibrio_cholerae_infection
ADCY3 hsa04713 Circadian_entrainment
ADCY3 hsa00230 Purine_metabolism
ADCY3 hsa04914 Progesterone-mediated_oocyte_maturation
ADCY3 hsa04213 Longevity_regulating_pathway
ADCY3 hsa04020 Calcium_signaling_pathway
ADCY3 hsa04923 Regulation_of_lipolysis_in_adipocytes
ADCY3 hsa05032 Morphine_addiction
ADCY3 hsa05200 Pathways_in_cancer
ADCY3 hsa04970 Salivary_secretion
ADCY3 hsa04062 Chemokine_signaling_pathway
ADCY3 hsa04540 Gap_junction
ADCY3 hsa04911 Insulin_secretion
ADCY3 hsa04114 Oocyte_meiosis
ADCY3 hsa04725 Cholinergic_synapse
ADCY5 hsa05012 Parkinson's_disease
ADCY5 hsa05414 Dilated_cardiomyopathy
ADCY5 hsa04912 GnRH_signaling_pathway
ADCY5 hsa04062 Chemokine_signaling_pathway
ADCY5 hsa04916 Melanogenesis
ADCY5 hsa04211 Longevity_regulating_pathway
ADCY5 hsa04750 Inflammatory_mediator_regulation_of_TRP_channels
ADCY5 hsa04970 Salivary_secretion
ADCY5 hsa04915 Estrogen_signaling_pathway
ADCY5 hsa04713 Circadian_entrainment
ADCY5 hsa04976 Bile_secretion
ADCY5 hsa05034 Alcoholism
ADCY5 hsa04611 Platelet_activation
ADCY5 hsa04723 Retrograde_endocannabinoid_signaling
ADCY5 hsa04924 Renin_secretion
ADCY5 hsa04725 Cholinergic_synapse
ADCY5 hsa05032 Morphine_addiction
ADCY5 hsa04015 Rap1_signaling_pathway
ADCY5 hsa04022 cGMP-PKG_signaling_pathway
ADCY5 hsa05166 HTLV-I_infection
ADCY5 hsa04925 Aldosterone_synthesis_and_secretion
ADCY5 hsa04921 Oxytocin_signaling_pathway
ADCY5 hsa04024 cAMP_signaling_pathway
ADCY5 hsa04728 Dopaminergic_synapse
ADCY5 hsa04114 Oocyte_meiosis
ADCY5 hsa00230 Purine_metabolism
ADCY5 hsa04540 Gap_junction
ADCY5 hsa05200 Pathways_in_cancer
ADCY5 hsa04918 Thyroid_hormone_synthesis
ADCY5 hsa04727 GABAergic_synapse
ADCY5 hsa04726 Serotonergic_synapse
ADCY5 hsa04911 Insulin_secretion
ADCY5 hsa04913 Ovarian_steroidogenesis
ADCY5 hsa04923 Regulation_of_lipolysis_in_adipocytes
ADCY5 hsa04971 Gastric_acid_secretion
ADCY5 hsa01522 Endocrine_resistance
ADCY5 hsa04261 Adrenergic_signaling_in_cardiomyocytes
ADCY5 hsa04072 Phospholipase_D_signaling_pathway
ADCY5 hsa05030 Cocaine_addiction
ADCY5 hsa04724 Glutamatergic_synapse
ADCY5 hsa04914 Progesterone-mediated_oocyte_maturation
ADCY5 hsa05031 Amphetamine_addiction
ADCY5 hsa04972 Pancreatic_secretion
ADCY5 hsa04270 Vascular_smooth_muscle_contraction
ADCY5 hsa04213 Longevity_regulating_pathway
ADCY6 hsa05414 Dilated_cardiomyopathy
ADCY6 hsa04921 Oxytocin_signaling_pathway
ADCY6 hsa04962 Vasopressin-regulated_water_reabsorption
ADCY6 hsa04924 Renin_secretion
ADCY6 hsa04976 Bile_secretion
ADCY6 hsa04270 Vascular_smooth_muscle_contraction
ADCY6 hsa04022 cGMP-PKG_signaling_pathway
ADCY6 hsa04970 Salivary_secretion
ADCY6 hsa04724 Glutamatergic_synapse
ADCY6 hsa04727 GABAergic_synapse
ADCY6 hsa04114 Oocyte_meiosis
ADCY6 hsa05166 HTLV-I_infection
ADCY6 hsa04923 Regulation_of_lipolysis_in_adipocytes
ADCY6 hsa04912 GnRH_signaling_pathway
ADCY6 hsa04972 Pancreatic_secretion
ADCY6 hsa04024 cAMP_signaling_pathway
ADCY6 hsa04742 Taste_transduction
ADCY6 hsa04914 Progesterone-mediated_oocyte_maturation
ADCY6 hsa04713 Circadian_entrainment
ADCY6 hsa04925 Aldosterone_synthesis_and_secretion
ADCY6 hsa04015 Rap1_signaling_pathway
ADCY6 hsa05032 Morphine_addiction
ADCY6 hsa04062 Chemokine_signaling_pathway
ADCY6 hsa04971 Gastric_acid_secretion
ADCY6 hsa04540 Gap_junction
ADCY6 hsa04918 Thyroid_hormone_synthesis
ADCY6 hsa04213 Longevity_regulating_pathway
ADCY6 hsa01522 Endocrine_resistance
ADCY6 hsa04915 Estrogen_signaling_pathway
ADCY6 hsa04211 Longevity_regulating_pathway
ADCY6 hsa04261 Adrenergic_signaling_in_cardiomyocytes
ADCY6 hsa04961 Endocrine_and_other_factor-regulated_calcium_reabsorption
ADCY6 hsa04916 Melanogenesis
ADCY6 hsa04723 Retrograde_endocannabinoid_signaling
ADCY6 hsa04072 Phospholipase_D_signaling_pathway
ADCY6 hsa04611 Platelet_activation
ADCY6 hsa04911 Insulin_secretion
ADCY6 hsa05200 Pathways_in_cancer
ADCY6 hsa04750 Inflammatory_mediator_regulation_of_TRP_channels
ADCY6 hsa04913 Ovarian_steroidogenesis
ADCY6 hsa04725 Cholinergic_synapse
ADCY6 hsa00230 Purine_metabolism
ADCY7 hsa04915 Estrogen_signaling_pathway
ADCY7 hsa04062 Chemokine_signaling_pathway
ADCY7 hsa04022 cGMP-PKG_signaling_pathway
ADCY7 hsa05414 Dilated_cardiomyopathy
ADCY7 hsa04024 cAMP_signaling_pathway
ADCY7 hsa05166 HTLV-I_infection
ADCY7 hsa04976 Bile_secretion
ADCY7 hsa04750 Inflammatory_mediator_regulation_of_TRP_channels
ADCY7 hsa04727 GABAergic_synapse
ADCY7 hsa04970 Salivary_secretion
ADCY7 hsa04270 Vascular_smooth_muscle_contraction
ADCY7 hsa04713 Circadian_entrainment
ADCY7 hsa04923 Regulation_of_lipolysis_in_adipocytes
ADCY7 hsa04972 Pancreatic_secretion
ADCY7 hsa04925 Aldosterone_synthesis_and_secretion
ADCY7 hsa04072 Phospholipase_D_signaling_pathway
ADCY7 hsa00230 Purine_metabolism
ADCY7 hsa04918 Thyroid_hormone_synthesis
ADCY7 hsa05032 Morphine_addiction
ADCY7 hsa04114 Oocyte_meiosis
ADCY7 hsa04911 Insulin_secretion
ADCY7 hsa04611 Platelet_activation
ADCY7 hsa04914 Progesterone-mediated_oocyte_maturation
ADCY7 hsa04912 GnRH_signaling_pathway
ADCY7 hsa04724 Glutamatergic_synapse
ADCY7 hsa04540 Gap_junction
ADCY7 hsa04921 Oxytocin_signaling_pathway
ADCY7 hsa04015 Rap1_signaling_pathway
ADCY7 hsa01522 Endocrine_resistance
ADCY7 hsa04211 Longevity_regulating_pathway
ADCY7 hsa04261 Adrenergic_signaling_in_cardiomyocytes
ADCY7 hsa05200 Pathways_in_cancer
ADCY7 hsa04020 Calcium_signaling_pathway
ADCY7 hsa04971 Gastric_acid_secretion
ADCY7 hsa04723 Retrograde_endocannabinoid_signaling
ADCY7 hsa04213 Longevity_regulating_pathway
ADCY7 hsa04913 Ovarian_steroidogenesis
ADCY7 hsa04725 Cholinergic_synapse
ADCY7 hsa04916 Melanogenesis
ADCY3 hsa04923 Regulation_of_lipolysis_in_adipocytes
ADCY3 hsa04727 GABAergic_synapse
ADCY3 hsa04925 Aldosterone_synthesis_and_secretion
ADCY3 hsa04914 Progesterone-mediated_oocyte_maturation
ADCY3 hsa04720 Long-term_potentiation
ADCY3 hsa04540 Gap_junction
ADCY3 hsa04723 Retrograde_endocannabinoid_signaling
ADCY3 hsa04915 Estrogen_signaling_pathway
ADCY3 hsa01522 Endocrine_resistance
ADCY3 hsa04270 Vascular_smooth_muscle_contraction
ADCY3 hsa04611 Platelet_activation
ADCY3 hsa05166 HTLV-I_infection
ADCY3 hsa04024 cAMP_signaling_pathway
ADCY3 hsa04261 Adrenergic_signaling_in_cardiomyocytes
ADCY3 hsa04971 Gastric_acid_secretion
ADCY3 hsa05032 Morphine_addiction
ADCY3 hsa00230 Purine_metabolism
ADCY3 hsa05200 Pathways_in_cancer
ADCY3 hsa04972 Pancreatic_secretion
ADCY3 hsa04724 Glutamatergic_synapse
ADCY3 hsa04918 Thyroid_hormone_synthesis
ADCY3 hsa04114 Oocyte_meiosis
ADCY3 hsa04750 Inflammatory_mediator_regulation_of_TRP_channels
ADCY3 hsa04976 Bile_secretion
ADCY3 hsa04020 Calcium_signaling_pathway
ADCY3 hsa04921 Oxytocin_signaling_pathway
ADCY3 hsa04911 Insulin_secretion
ADCY3 hsa04022 cGMP-PKG_signaling_pathway
ADCY3 hsa04725 Cholinergic_synapse
ADCY3 hsa04015 Rap1_signaling_pathway
ADCY3 hsa04970 Salivary_secretion
ADCY3 hsa04913 Ovarian_steroidogenesis
ADCY3 hsa04912 GnRH_signaling_pathway
ADCY3 hsa04713 Circadian_entrainment
ADCY3 hsa04916 Melanogenesis
ADCY3 hsa05414 Dilated_cardiomyopathy
ADCY3 hsa04742 Taste_transduction
ADCY3 hsa04062 Chemokine_signaling_pathway
ADCY3 hsa04211 Longevity_regulating_pathway
ADCY3 hsa04213 Longevity_regulating_pathway
ADCY3 hsa04072 Phospholipase_D_signaling_pathway
ADCY8 hsa04923 Regulation_of_lipolysis_in_adipocytes
ADCY8 hsa04727 GABAergic_synapse
ADCY8 hsa04925 Aldosterone_synthesis_and_secretion
ADCY8 hsa04914 Progesterone-mediated_oocyte_maturation
ADCY8 hsa04720 Long-term_potentiation
ADCY8 hsa04540 Gap_junction
ADCY8 hsa04723 Retrograde_endocannabinoid_signaling
ADCY8 hsa04915 Estrogen_signaling_pathway
ADCY8 hsa01522 Endocrine_resistance
ADCY8 hsa04270 Vascular_smooth_muscle_contraction
ADCY8 hsa04611 Platelet_activation
ADCY8 hsa05166 HTLV-I_infection
ADCY8 hsa04024 cAMP_signaling_pathway
ADCY8 hsa04261 Adrenergic_signaling_in_cardiomyocytes
ADCY8 hsa04971 Gastric_acid_secretion
ADCY8 hsa05032 Morphine_addiction
ADCY8 hsa00230 Purine_metabolism
ADCY8 hsa05200 Pathways_in_cancer
ADCY8 hsa04972 Pancreatic_secretion
