ENSG00000278198	ENST00000611619	ENSP00000482855
ENSG00000167987	ENST00000301765	ENSP00000301765
ENSG00000185088	ENST00000330964	ENSP00000331019
ENSG00000027697	ENST00000367739	ENSP00000356713
ENSG00000186889	ENST00000335390	ENSP00000335094
ENSG00000128165	ENST00000395738	ENSP00000379087
ENSG00000100599	ENST00000216487	ENSP00000216487
ENSG00000142538	ENST00000270631	ENSP00000270631
ENSG00000177151	ENST00000317450	ENSP00000324369
ENSG00000105737	ENST00000262895	ENSP00000262895
ENSG00000163348	ENST00000368457	ENSP00000357442
ENSG00000196517	ENST00000360584	ENSP00000353791
ENSG00000163344	ENST00000368467	ENSP00000357452
ENSG00000105404	ENST00000222008	ENSP00000222008
ENSG00000198211	ENST00000556922	ENSP00000451560
ENSG00000171453	ENST00000372389	ENSP00000361465
ENSG00000164309	ENST00000446378	ENSP00000394770
ENSG00000118137	ENST00000236850	ENSP00000236850
ENSG00000164330	ENST00000313708	ENSP00000322898
ENSG00000123552	ENST00000327681	ENSP00000333376
ENSG00000183495	ENST00000389562	ENSP00000374213
ENSG00000116786	ENST00000375799	ENSP00000364956
ENSG00000177192	ENST00000376649	ENSP00000365837
ENSG00000119711	ENST00000553458	ENSP00000450436
ENSG00000152413	ENST00000334082	ENSP00000334382
ENSG00000177169	ENST00000321867	ENSP00000324560
ENSG00000270188	ENST00000604646	ENSP00000474861
ENSG00000119723	ENST00000334571	ENSP00000333946
ENSG00000108984	ENST00000590474	ENSP00000468348
ENSG00000116260	ENST00000367602	ENSP00000356574
ENSG00000139223	ENST00000266594	ENSP00000266594
ENSG00000146410	ENST00000420702	ENSP00000395232
ENSG00000143337	ENST00000528443	ENSP00000435365
ENSG00000167528	ENST00000544117	ENSP00000437832
ENSG00000162620	ENST00000354431	ENSP00000346414
ENSG00000127554	ENST00000248114	ENSP00000248114
ENSG00000130368	ENST00000252660	ENSP00000252660
ENSG00000122970	ENST00000242591	ENSP00000242591
ENSG00000119333	ENST00000372715	ENSP00000361800
ENSG00000160469	ENST00000309383	ENSP00000310649
ENSG00000127191	ENST00000247668	ENSP00000247668
ENSG00000146263	ENST00000275053	ENSP00000275053
ENSG00000176903	ENST00000316836	ENSP00000318914
ENSG00000187658	ENST00000409999	ENSP00000387027
ENSG00000124279	ENST00000264669	ENSP00000264669
ENSG00000127329	ENST00000334414	ENSP00000334928
ENSG00000143669	ENST00000389793	ENSP00000374443
ENSG00000123545	ENST00000316149	ENSP00000358272
ENSG00000105388	ENST00000221992	ENSP00000221992
ENSG00000165671	ENST00000439151	ENSP00000395929
ENSG00000172461	ENST00000302103	ENSP00000302599
ENSG00000132693	ENST00000255030	ENSP00000255030
ENSG00000143612	ENST00000368521	ENSP00000357507
ENSG00000059804	ENST00000075120	ENSP00000075120
ENSG00000114859	ENST00000265593	ENSP00000265593
ENSG00000168264	ENST00000366609	ENSP00000355568
ENSG00000070756	ENST00000318607	ENSP00000313007
ENSG00000134202	ENST00000256594	ENSP00000256594
ENSG00000161011	ENST00000389805	ENSP00000374455
ENSG00000198758	ENST00000369805	ENSP00000358820
ENSG00000150991	ENST00000536769	ENSP00000441543
ENSG00000188340	ENST00000339258	ENSP00000344101
ENSG00000116991	ENST00000366630	ENSP00000355589
ENSG00000118733	ENST00000338858	ENSP00000345192
ENSG00000184227	ENST00000311148	ENSP00000311224
ENSG00000121413	ENST00000600404	ENSP00000470123
ENSG00000154263	ENST00000269081	ENSP00000269081
ENSG00000168765	ENST00000369836	ENSP00000358851
ENSG00000274944	ENST00000621281	ENSP00000479064
ENSG00000106477	ENST00000223208	ENSP00000223208
ENSG00000214114	ENST00000397572	ENSP00000380702
ENSG00000100721	ENST00000402399	ENSP00000385036
ENSG00000105607	ENST00000222214	ENSP00000222214
ENSG00000076321	ENST00000209884	ENSP00000209884
ENSG00000158246	ENST00000289166	ENSP00000289166
ENSG00000120337	ENST00000404377	ENSP00000385470
ENSG00000196498	ENST00000405201	ENSP00000384018
ENSG00000161021	ENST00000292599	ENSP00000292599
ENSG00000198944	ENST00000378693	ENSP00000367965
ENSG00000182118	ENST00000366654	ENSP00000355614
ENSG00000123179	ENST00000242827	ENSP00000242827
ENSG00000173480	ENST00000312026	ENSP00000311319
ENSG00000105329	ENST00000221930	ENSP00000221930
ENSG00000105612	ENST00000222219	ENSP00000222219
ENSG00000104783	ENST00000262888	ENSP00000262888
ENSG00000102076	ENST00000369951	ENSP00000358967
ENSG00000231861	ENST00000427338	ENSP00000393889
ENSG00000171806	ENST00000310392	ENSP00000307975
ENSG00000165821	ENST00000614342	ENSP00000483562
ENSG00000158786	ENST00000375102	ENSP00000364243
ENSG00000074276	ENST00000510636	ENSP00000424565
ENSG00000116717	ENST00000370986	ENSP00000360025
ENSG00000167644	ENST00000301246	ENSP00000301246
ENSG00000124356	ENST00000394070	ENSP00000377633
ENSG00000119392	ENST00000309971	ENSP00000308622
ENSG00000205089	ENST00000614847	ENSP00000478257
ENSG00000145332	ENST00000273963	ENSP00000273963
ENSG00000135472	ENST00000320634	ENSP00000321951
ENSG00000198805	ENST00000361505	ENSP00000354532
ENSG00000143185	ENST00000367819	ENSP00000356793
ENSG00000143184	ENST00000367818	ENSP00000356792
ENSG00000172717	ENST00000612183	ENSP00000483154
ENSG00000169418	ENST00000368680	ENSP00000357669
ENSG00000253797	ENST00000521776	ENSP00000428619
ENSG00000115464	ENST00000398571	ENSP00000381577
ENSG00000143314	ENST00000361531	ENSP00000354525
ENSG00000253710	ENST00000521508	ENSP00000430236
ENSG00000005436	ENST00000321027	ENSP00000318690
ENSG00000186965	ENST00000334055	ENSP00000335660
ENSG00000143196	ENST00000367817	ENSP00000356791
ENSG00000165621	ENST00000298440	ENSP00000298440
ENSG00000148153	ENST00000374242	ENSP00000363360
ENSG00000244025	ENST00000334063	ENSP00000386376
ENSG00000186967	ENST00000334058	ENSP00000335567
ENSG00000186977	ENST00000334151	ENSP00000334985
ENSG00000143384	ENST00000369026	ENSP00000358022
ENSG00000183955	ENST00000402868	ENSP00000384629
ENSG00000146083	ENST00000274811	ENSP00000274811
ENSG00000172889	ENST00000371699	ENSP00000360764
ENSG00000046889	ENST00000288368	ENSP00000288368
ENSG00000164187	ENST00000296603	ENSP00000296603
ENSG00000188730	ENST00000340652	ENSP00000341819
ENSG00000143382	ENST00000369039	ENSP00000358035
ENSG00000150977	ENST00000280571	ENSP00000280571
ENSG00000089169	ENST00000389385	ENSP00000374036
ENSG00000042813	ENST00000046087	ENSP00000046087
ENSG00000145781	ENST00000274458	ENSP00000274458
ENSG00000158560	ENST00000324972	ENSP00000320130
ENSG00000117477	ENST00000367806	ENSP00000356780
ENSG00000166226	ENST00000299300	ENSP00000299300
ENSG00000186925	ENST00000334046	ENSP00000375107
ENSG00000142583	ENST00000377424	ENSP00000366641
ENSG00000244362	ENST00000334849	ENSP00000334696
ENSG00000184209	ENST00000412157	ENSP00000403310
ENSG00000206106	ENST00000382830	ENSP00000372281
ENSG00000212938	ENST00000391624	ENSP00000375482
ENSG00000186930	ENST00000334897	ENSP00000334560
ENSG00000186924	ENST00000334680	ENSP00000333887
ENSG00000156860	ENST00000356166	ENSP00000348489
ENSG00000164500	ENST00000297001	ENSP00000297001
ENSG00000188026	ENST00000376874	ENSP00000366070
ENSG00000139793	ENST00000345429	ENSP00000267287
ENSG00000143156	ENST00000367811	ENSP00000356785
ENSG00000115364	ENST00000393909	ENSP00000377486
ENSG00000134001	ENST00000256383	ENSP00000256383
ENSG00000146858	ENST00000275766	ENSP00000275766
ENSG00000249693	ENST00000512175	ENSP00000456850
ENSG00000182545	ENST00000328444	ENSP00000333358
ENSG00000138134	ENST00000371926	ENSP00000360994
ENSG00000128050	ENST00000399688	ENSP00000382595
ENSG00000173230	ENST00000393667	ENSP00000377275
ENSG00000072415	ENST00000261681	ENSP00000261681
ENSG00000204084	ENST00000373024	ENSP00000362115
ENSG00000143321	ENST00000368206	ENSP00000357189
ENSG00000173281	ENST00000310455	ENSP00000308318
ENSG00000157470	ENST00000288228	ENSP00000288228
ENSG00000184371	ENST00000329608	ENSP00000327513
ENSG00000161013	ENST00000337755	ENSP00000338487
ENSG00000179300	ENST00000321110	ENSP00000316794
ENSG00000169330	ENST00000305428	ENSP00000307461
ENSG00000203908	ENST00000370367	ENSP00000359392
ENSG00000086015	ENST00000361297	ENSP00000354671
ENSG00000112941	ENST00000230859	ENSP00000230859
ENSG00000029559	ENST00000226284	ENSP00000226284
ENSG00000152591	ENST00000399271	ENSP00000382213
ENSG00000143379	ENST00000271640	ENSP00000271640
ENSG00000213614	ENST00000268097	ENSP00000268097
ENSG00000175182	ENST00000383847	ENSP00000373360
ENSG00000142751	ENST00000374135	ENSP00000363250
ENSG00000127328	ENST00000550536	ENSP00000447300
ENSG00000112659	ENST00000252050	ENSP00000252050
ENSG00000159592	ENST00000355105	ENSP00000347224
ENSG00000116906	ENST00000366647	ENSP00000355607
ENSG00000198178	ENST00000542353	ENSP00000440428
ENSG00000158828	ENST00000321556	ENSP00000364204
ENSG00000138115	ENST00000371270	ENSP00000360317
ENSG00000177614	ENST00000525115	ENSP00000431404
ENSG00000130338	ENST00000367097	ENSP00000356064
ENSG00000143641	ENST00000366672	ENSP00000355632
ENSG00000197980	ENST00000491763	ENSP00000474182
ENSG00000105610	ENST00000264834	ENSP00000264834
ENSG00000080603	ENST00000262518	ENSP00000262518
ENSG00000115159	ENST00000310454	ENSP00000308610
ENSG00000143178	ENST00000367821	ENSP00000356795
ENSG00000100767	ENST00000340738	ENSP00000345395
ENSG00000184351	ENST00000390689	ENSP00000375108
ENSG00000240432	ENST00000390690	ENSP00000375109
ENSG00000182816	ENST00000399889	ENSP00000382777
ENSG00000087448	ENST00000381271	ENSP00000370671
ENSG00000038382	ENST00000344204	ENSP00000339299
ENSG00000026103	ENST00000355740	ENSP00000347979
ENSG00000249141	ENST00000507747	ENSP00000426906
ENSG00000154545	ENST00000599522	ENSP00000472118
ENSG00000083099	ENST00000523377	ENSP00000430025
ENSG00000137634	ENST00000375478	ENSP00000364627
ENSG00000128059	ENST00000264220	ENSP00000264220
ENSG00000065618	ENST00000353479	ENSP00000340937
ENSG00000144677	ENST00000273179	ENSP00000273179
ENSG00000269067	ENST00000594710	ENSP00000471593
ENSG00000178229	ENST00000321545	ENSP00000322545
ENSG00000132622	ENST00000254963	ENSP00000254963
ENSG00000188779	ENST00000341418	ENSP00000343200
ENSG00000258873	ENST00000554048	ENSP00000452398
ENSG00000213171	ENST00000368820	ENSP00000357810
ENSG00000123191	ENST00000242839	ENSP00000242839
ENSG00000167646	ENST00000527223	ENSP00000436975
ENSG00000143126	ENST00000271332	ENSP00000271332
ENSG00000124444	ENST00000336564	ENSP00000337852
ENSG00000244411	ENST00000398536	ENSP00000417330
ENSG00000255974	ENST00000301141	ENSP00000301141
ENSG00000117620	ENST00000370153	ENSP00000359172
ENSG00000115266	ENST00000535453	ENSP00000442954
ENSG00000164091	ENST00000296490	ENSP00000296490
ENSG00000243716	ENST00000424340	ENSP00000440703
ENSG00000018610	ENST00000536133	ENSP00000441786
ENSG00000239887	ENST00000426197	ENSP00000413150
ENSG00000181090	ENST00000460843	ENSP00000417980
ENSG00000257335	ENST00000549489	ENSP00000447378
ENSG00000183423	ENST00000594814	ENSP00000469759
ENSG00000073050	ENST00000262887	ENSP00000262887
ENSG00000198908	ENST00000372735	ENSP00000361820
ENSG00000118434	ENST00000237201	ENSP00000237201
ENSG00000157426	ENST00000205214	ENSP00000205214
ENSG00000139998	ENST00000267512	ENSP00000267512
ENSG00000119707	ENST00000261973	ENSP00000261973
ENSG00000111252	ENST00000341259	ENSP00000345492
ENSG00000155760	ENST00000286201	ENSP00000286201
ENSG00000124155	ENST00000279036	ENSP00000279036
ENSG00000253719	ENST00000519948	ENSP00000430000
ENSG00000124733	ENST00000244711	ENSP00000244711
ENSG00000132698	ENST00000361084	ENSP00000354376
ENSG00000237330	ENST00000453464	ENSP00000410533
ENSG00000071246	ENST00000167106	ENSP00000167106
ENSG00000164509	ENST00000447346	ENSP00000415900
ENSG00000145390	ENST00000450251	ENSP00000409906
ENSG00000109016	ENST00000395511	ENSP00000378887
ENSG00000130723	ENST00000357304	ENSP00000349856
ENSG00000150527	ENST00000553728	ENSP00000452252
ENSG00000150527	ENST00000280082	ENSP00000280082
ENSG00000150527	ENST00000396158	ENSP00000379462
ENSG00000130695	ENST00000252992	ENSP00000252992
ENSG00000110756	ENST00000349215	ENSP00000265967
ENSG00000168802	ENST00000448552	ENSP00000408367
ENSG00000113525	ENST00000231454	ENSP00000231454
ENSG00000116237	ENST00000343813	ENSP00000343552
ENSG00000177854	ENST00000369982	ENSP00000358999
ENSG00000134686	ENST00000257118	ENSP00000257118
ENSG00000262246	ENST00000251166	ENSP00000251166
ENSG00000107960	ENST00000224950	ENSP00000224950
ENSG00000179841	ENST00000394718	ENSP00000378207
ENSG00000111832	ENST00000466444	ENSP00000420357
ENSG00000126858	ENST00000358365	ENSP00000351132
ENSG00000106479	ENST00000223210	ENSP00000223210
ENSG00000142675	ENST00000374253	ENSP00000363371
ENSG00000118873	ENST00000358951	ENSP00000351832
ENSG00000221995	ENST00000359450	ENSP00000352424
ENSG00000165152	ENST00000374851	ENSP00000363984
ENSG00000170935	ENST00000509000	ENSP00000476955
ENSG00000224586	ENST00000412168	ENSP00000392398
ENSG00000164463	ENST00000296953	ENSP00000296953
ENSG00000143373	ENST00000324048	ENSP00000319829
ENSG00000197992	ENST00000355819	ENSP00000348074
ENSG00000247596	ENST00000305533	ENSP00000303908
ENSG00000169618	ENST00000303786	ENSP00000303775
ENSG00000071626	ENST00000233078	ENSP00000233078
ENSG00000131914	ENST00000326279	ENSP00000363314
ENSG00000135338	ENST00000392959	ENSP00000376686
ENSG00000146477	ENST00000275300	ENSP00000275300
ENSG00000141052	ENST00000425538	ENSP00000401678
ENSG00000138172	ENST00000260743	ENSP00000260743
ENSG00000164871	ENST00000398462	ENSP00000381480
ENSG00000185652	ENST00000423158	ENSP00000397297
ENSG00000143398	ENST00000368888	ENSP00000357883
ENSG00000155393	ENST00000299192	ENSP00000299192
ENSG00000255526	ENST00000534348	ENSP00000431482
ENSG00000161381	ENST00000315392	ENSP00000323927
ENSG00000176771	ENST00000409261	ENSP00000387128
ENSG00000240230	ENST00000344111	ENSP00000342015
ENSG00000090989	ENST00000381295	ENSP00000370695
ENSG00000122958	ENST00000373382	ENSP00000362480
ENSG00000145919	ENST00000311086	ENSP00000309644
ENSG00000105251	ENST00000543264	ENSP00000446058
ENSG00000064547	ENST00000542587	ENSP00000443256
ENSG00000182749	ENST00000374296	ENSP00000363414
ENSG00000167614	ENST00000376531	ENSP00000365714
ENSG00000260300	ENST00000561562	ENSP00000484042
ENSG00000205084	ENST00000258173	ENSP00000258173
ENSG00000169955	ENST00000252799	ENSP00000252799
ENSG00000166033	ENST00000368984	ENSP00000357980
ENSG00000222009	ENST00000450269	ENSP00000395461
ENSG00000148835	ENST00000369839	ENSP00000358854
ENSG00000084674	ENST00000233242	ENSP00000233242
ENSG00000168785	ENST00000305798	ENSP00000307701
ENSG00000138081	ENST00000403359	ENSP00000384823
ENSG00000105427	ENST00000222032	ENSP00000222032
ENSG00000185442	ENST00000327355	ENSP00000329040
ENSG00000124151	ENST00000371998	ENSP00000361066
ENSG00000186010	ENST00000507754	ENSP00000423673
ENSG00000082153	ENST00000452790	ENSP00000394316
ENSG00000171861	ENST00000304478	ENSP00000306080
ENSG00000228607	ENST00000453129	ENSP00000396304
ENSG00000132938	ENST00000612955	ENSP00000483729
ENSG00000186472	ENST00000333891	ENSP00000334319
ENSG00000115325	ENST00000233668	ENSP00000233668
ENSG00000182481	ENST00000537025	ENSP00000438483
ENSG00000148942	ENST00000396005	ENSP00000379326
ENSG00000167612	ENST00000301190	ENSP00000301190
ENSG00000076356	ENST00000367033	ENSP00000356000
ENSG00000167699	ENST00000301329	ENSP00000301329
ENSG00000062038	ENST00000264012	ENSP00000264012
ENSG00000148450	ENST00000376510	ENSP00000365693
ENSG00000176170	ENST00000323374	ENSP00000313681
ENSG00000147434	ENST00000276410	ENSP00000276410
ENSG00000072803	ENST00000265094	ENSP00000265094
ENSG00000162227	ENST00000294168	ENSP00000294168
ENSG00000151413	ENST00000281081	ENSP00000281081
ENSG00000189221	ENST00000338702	ENSP00000340684
ENSG00000157625	ENST00000378933	ENSP00000368215
ENSG00000189377	ENST00000601181	ENSP00000472467
ENSG00000162613	ENST00000370768	ENSP00000359804
ENSG00000132676	ENST00000368336	ENSP00000357320
ENSG00000170633	ENST00000392465	ENSP00000376258
ENSG00000089094	ENST00000377071	ENSP00000366271
ENSG00000130939	ENST00000343090	ENSP00000343001
ENSG00000183092	ENST00000443071	ENSP00000411124
ENSG00000162444	ENST00000294435	ENSP00000294435
ENSG00000140105	ENST00000355338	ENSP00000347495
ENSG00000184005	ENST00000328299	ENSP00000329214
ENSG00000169241	ENST00000368404	ENSP00000357389
ENSG00000100600	ENST00000393218	ENSP00000376911
ENSG00000131408	ENST00000253727	ENSP00000253727
ENSG00000147206	ENST00000395065	ENSP00000378504
ENSG00000173614	ENST00000377205	ENSP00000366410
ENSG00000122971	ENST00000242592	ENSP00000242592
ENSG00000165131	ENST00000409607	ENSP00000386450
ENSG00000090554	ENST00000594009	ENSP00000469613
ENSG00000118242	ENST00000620139	ENSP00000484331
ENSG00000133169	ENST00000372728	ENSP00000361813
ENSG00000266265	ENST00000583337	ENSP00000463287
ENSG00000188558	ENST00000343414	ENSP00000341291
ENSG00000165934	ENST00000298875	ENSP00000298875
ENSG00000183648	ENST00000329559	ENSP00000330787
ENSG00000135097	ENST00000257552	ENSP00000257552
ENSG00000089163	ENST00000202967	ENSP00000202967
ENSG00000163354	ENST00000368424	ENSP00000357409
ENSG00000103196	ENST00000262424	ENSP00000262424
ENSG00000160685	ENST00000417934	ENSP00000406286
ENSG00000162711	ENST00000336119	ENSP00000337383
ENSG00000197472	ENST00000339986	ENSP00000341236
ENSG00000196405	ENST00000392920	ENSP00000376652
ENSG00000262180	ENST00000574641	ENSP00000460371
ENSG00000162851	ENST00000366514	ENSP00000355471
ENSG00000120645	ENST00000538872	ENSP00000437554
ENSG00000161652	ENST00000293405	ENSP00000293405
ENSG00000204227	ENST00000374656	ENSP00000363787
ENSG00000162458	ENST00000441801	ENSP00000416387
ENSG00000121644	ENST00000302550	ENSP00000306528
ENSG00000089818	ENST00000339754	ENSP00000341737
ENSG00000175906	ENST00000320033	ENSP00000322628
ENSG00000156050	ENST00000286544	ENSP00000286544
ENSG00000139767	ENST00000267260	ENSP00000267260
ENSG00000198598	ENST00000360564	ENSP00000353767
ENSG00000160714	ENST00000292211	ENSP00000292211
ENSG00000187097	ENST00000334696	ENSP00000335246
ENSG00000061936	ENST00000541286	ENSP00000437738
ENSG00000162621	ENST00000294635	ENSP00000294635
ENSG00000204246	ENST00000374781	ENSP00000363913
ENSG00000147571	ENST00000276571	ENSP00000276571
ENSG00000171408	ENST00000308191	ENSP00000310661
ENSG00000197415	ENST00000362010	ENSP00000354919
ENSG00000124574	ENST00000372530	ENSP00000361608
ENSG00000171603	ENST00000377298	ENSP00000366513
ENSG00000177943	ENST00000317446	ENSP00000319388
ENSG00000007129	ENST00000401445	ENSP00000385739
ENSG00000181751	ENST00000319933	ENSP00000326110
ENSG00000067798	ENST00000397909	ENSP00000381007
ENSG00000072121	ENST00000347230	ENSP00000251119
ENSG00000185361	ENST00000536716	ENSP00000444215
ENSG00000074842	ENST00000262947	ENSP00000262947
ENSG00000250719	ENST00000506599	ENSP00000480059
ENSG00000278139	ENST00000540385	ENSP00000439913
ENSG00000196266	ENST00000332217	ENSP00000331789
ENSG00000168710	ENST00000369799	ENSP00000358814
ENSG00000144771	ENST00000273286	ENSP00000273286
ENSG00000121410	ENST00000263100	ENSP00000263100
ENSG00000164430	ENST00000370315	ENSP00000359339
ENSG00000170989	ENST00000305352	ENSP00000305416
ENSG00000005238	ENST00000378561	ENSP00000367823
ENSG00000170468	ENST00000304061	ENSP00000477507
ENSG00000173285	ENST00000289451	ENSP00000289451
ENSG00000178397	ENST00000313324	ENSP00000317289
ENSG00000092820	ENST00000367075	ENSP00000356042
ENSG00000173376	ENST00000379692	ENSP00000369014
ENSG00000278540	ENST00000616317	ENSP00000483300
ENSG00000111199	ENST00000418703	ENSP00000406191
ENSG00000177954	ENST00000368567	ENSP00000357555
ENSG00000152467	ENST00000282326	ENSP00000282326
ENSG00000204673	ENST00000391835	ENSP00000375711
ENSG00000097021	ENST00000377855	ENSP00000367086
ENSG00000196576	ENST00000449103	ENSP00000409171
ENSG00000137817	ENST00000569795	ENSP00000456348
ENSG00000244187	ENST00000290079	ENSP00000290079
ENSG00000039650	ENST00000322344	ENSP00000323511
ENSG00000112182	ENST00000257749	ENSP00000257749
ENSG00000161640	ENST00000447370	ENSP00000412361
ENSG00000158477	ENST00000289429	ENSP00000289429
ENSG00000090534	ENST00000204615	ENSP00000204615
ENSG00000174226	ENST00000311812	ENSP00000312368
ENSG00000171724	ENST00000302536	ENSP00000303129
ENSG00000048140	ENST00000310032	ENSP00000309036
ENSG00000167637	ENST00000618787	ENSP00000484852
ENSG00000145604	ENST00000274255	ENSP00000274255
ENSG00000198517	ENST00000343242	ENSP00000344903
ENSG00000204978	ENST00000378187	ENSP00000367429
ENSG00000111701	ENST00000229304	ENSP00000229304
ENSG00000196172	ENST00000402377	ENSP00000384000
ENSG00000206104	ENST00000382826	ENSP00000372276
ENSG00000180758	ENST00000377411	ENSP00000366628
ENSG00000172380	ENST00000370982	ENSP00000360021
ENSG00000116729	ENST00000354777	ENSP00000346829
ENSG00000169826	ENST00000374466	ENSP00000363590
ENSG00000213231	ENST00000340722	ENSP00000343223
ENSG00000080839	ENST00000373664	ENSP00000362768
ENSG00000188710	ENST00000623824	ENSP00000485512
ENSG00000167491	ENST00000360315	ENSP00000353463
ENSG00000196267	ENST00000597252	ENSP00000470239
ENSG00000111796	ENST00000229402	ENSP00000229402
ENSG00000173020	ENST00000308595	ENSP00000312262
ENSG00000055732	ENST00000370589	ENSP00000359621
ENSG00000128891	ENST00000558750	ENSP00000452773
ENSG00000205835	ENST00000442080	ENSP00000406164
ENSG00000129480	ENST00000310850	ENSP00000312224
ENSG00000196230	ENST00000327892	ENSP00000339001
ENSG00000092607	ENST00000207157	ENSP00000207157
ENSG00000266074	ENST00000584436	ENSP00000462154
ENSG00000059758	ENST00000261211	ENSP00000261211
ENSG00000196391	ENST00000354377	ENSP00000346348
ENSG00000115241	ENST00000344034	ENSP00000342778
ENSG00000182810	ENST00000332395	ENSP00000332340
ENSG00000084110	ENST00000261208	ENSP00000261208
ENSG00000253846	ENST00000398610	ENSP00000381611
ENSG00000118308	ENST00000354454	ENSP00000346442
ENSG00000133475	ENST00000401924	ENSP00000385721
ENSG00000158715	ENST00000367145	ENSP00000356113
ENSG00000089177	ENST00000408042	ENSP00000384164
ENSG00000253910	ENST00000522605	ENSP00000429018
ENSG00000115109	ENST00000263713	ENSP00000263713
ENSG00000125538	ENST00000263341	ENSP00000263341
ENSG00000170892	ENST00000429671	ENSP00000397402
ENSG00000255641	ENST00000539033	ENSP00000437563
ENSG00000004660	ENST00000158166	ENSP00000158166
ENSG00000171747	ENST00000307751	ENSP00000302100
ENSG00000171401	ENST00000246635	ENSP00000246635
ENSG00000136280	ENST00000381112	ENSP00000370503
ENSG00000184530	ENST00000329722	ENSP00000328069
ENSG00000174444	ENST00000307961	ENSP00000311430
ENSG00000141576	ENST00000269391	ENSP00000269391
ENSG00000203778	ENST00000368656	ENSP00000357645
